make,model_name,model_details,price,kms,year,transmission,detailsLink,type1,type2,type 3,,,
Audi,a5, 2.0 Tfsi Quatt Cab Stonic,"259,900","217,000",2015,Automatic,https://www.namcars.net/Audi-A5-2.0-Tfsi-Quatt-Cab-Stonic-1400734577,,,,,,
Toyota,hilux, 2.4 GD-6 SRX 4X4 P/U D...,"420,000","214,000",2018,Manual,https://www.namcars.net/Toyota-Hilux-2.4-GD-6-SRX-4X4-P-U-D-C-M-T-1400732414,4x4,Bakkie,,,,
Toyota,fortuner, 3.0 D4D 4x4 Manual ...,"270,000","213,000",2012,Manual,https://www.namcars.net/Toyota-Fortuner-3.0-D4D-4x4-Manual-2012-1400734042,4x4,,SUV,,,
Toyota,landcruiser, 4.5 EFI S/Cab 4x4,"249,900","213,000",2004,Manual,https://www.namcars.net/Toyota-Landcruiser-4.5-EFI-S-Cab-4x4-1400734711,4x4,,,,,
Suzuki,jimny, 1.3  4x4,"119,900","212,700",2010,Manual,https://www.namcars.net/Suzuki-Jimny-1.3-4x4-1400734944,4x4,,SUV,,,
Volkswagen,amarok, 2.0 Bitdi Highline 13...,"299,900","211,200",2015,Automatic,https://www.namcars.net/Volkswagen-Amarok-2.0-Bitdi-Highline-132kw-4Mot-A-T-P-U-D-C-1400734795,4x4,Bakkie,,,,
Ford,ranger, 3.2tdci XLS 4x4 SUP/CAB,"169,000","211,000",2014,Manual,https://www.namcars.net/Ford-Ranger-3.2tdci-XLS-4x4-SUP-CAB-1400734814,4x4,,,,,
Toyota,hilux, 2.4 Gd-6 SRX 4x4 P/u D...,"359,900","211,000",2016,Manual,https://www.namcars.net/Toyota-Hilux-2.4-Gd-6-SRX-4x4-P-u-D-c-NO-DEPOSIT-DEAL-1400735086,4x4,Bakkie,,,,
Volkswagen,amarok,  2.0 4MOTION 132KW Bi...,"280,000","211,000",2015,Automatic,https://www.namcars.net/Volkswagen-Amarok-2.0-4MOTION-132KW-BiTurbo-1400733375,4x4,Bakkie,,,,
Ford,ranger, 2.2 XL D/C  4X4,"289,900","209,313",2017,Manual,https://www.namcars.net/Ford-Ranger-2.2-XL-D-C-4X4-1400733943,4x4,Bakkie,,,,
Subaru,forester, 2.5 X AWD Auto,"95,000","208,000",2014,Automatic,https://www.namcars.net/Subaru-Forester-2.5-X-AWD-Auto-1400734582,,,,,,
Toyota,verso, 1.6 SX,"149,900","208,000",2012,Manual,https://www.namcars.net/Toyota-Verso-1.6-SX-1400733848,,,,,,
Ford,ford, Ranger 2.2TDic  XL 4x2,"159,900","206,000",2014,Manual,https://www.namcars.net/Ford-Ford-Ranger-2.2TDic-XL-4x2-1400732697,,,,,,
Volkswagen,t5, Caravelle 2.0 BiTDi DSG 4...,"335,000","205,689",2013,DSG,https://www.namcars.net/Volkswagen-T5-Caravelle-2.0-BiTDi-DSG-4MOT-1400734945,,,,,,
